"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,5-Year Impact Factor,Eigenfactor Score
27,NATURE REVIEWS NEUROSCIENCE,"36,952",28.880,37.257,0.071230
28,Annual Review of Immunology,"17,290",28.396,39.683,0.036400
29,NATURE GENETICS,"88,954",27.959,31.694,0.241290
30,CANCER CELL,"32,653",27.407,27.660,0.102790
31,PHYSIOLOGICAL REVIEWS,"25,952",27.312,34.628,0.033170
32,Annual Review of Pathology-Mechanisms of Disease,"4,105",26.853,26.330,0.013040
33,NATURE REVIEWS MICROBIOLOGY,"23,640",26.819,28.420,0.057910
34,World Psychiatry,"3,153",26.561,19.515,0.009500
34,World Psychiatry,"3,153",26.561,19.515,0.009500
36,LANCET NEUROLOGY,"24,566",26.284,25.612,0.065470
37,Nature Chemistry,"24,811",25.870,28.129,0.101390
38,PROGRESS IN POLYMER SCIENCE,"22,723",25.766,32.367,0.029830
39,NATURE METHODS,"45,957",25.062,36.723,0.218190
40,JOURNAL OF CLINICAL ONCOLOGY,"149,617",24.008,19.311,0.284510
41,Cell Stem Cell,"21,524",23.394,23.121,0.092350
42,IMMUNITY,"43,303",22.845,22.928,0.149370
43,Annual Review of Plant Biology,"17,998",22.808,25.141,0.018770
44,Nature Physics,"30,007",22.806,22.684,0.132220
45,ADVANCES IN PHYSICS,"5,466",21.818,22.094,0.004750
46,Materials Today,"8,312",21.695,19.797,0.017450
47,NATURE IMMUNOLOGY,"38,936",21.506,22.751,0.113380
48,BMJ-British Medical Journal,"100,535",20.785,19.355,0.159940
49,Nature Reviews Clinical Oncology,"6,733",20.693,18.267,0.026750
50,ACCOUNTS OF CHEMICAL RESEARCH,"61,609",20.268,22.758,0.136580
51,Nature Reviews Neurology,"6,557",20.257,18.755,0.026940
52,EUROPEAN HEART JOURNAL,"51,199",20.212,18.219,0.142650
53,NATURE CELL BIOLOGY,"38,128",20.060,20.594,0.103020
54,Cancer Discovery,"8,944",20.011,22.342,0.053350
55,CLINICAL MICROBIOLOGY REVIEWS,"16,502",19.958,23.488,0.020270
56,Annual Review of Psychology,"16,071",19.950,29.352,0.023590
56,Annual Review of Psychology,"16,071",19.950,29.352,0.023590
58,Annual Review of Biochemistry,"19,584",19.939,25.180,0.033770
59,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"96,042",19.896,18.456,0.227010
60,LANCET INFECTIOUS DISEASES,"18,087",19.864,19.226,0.057720
61,ADVANCED MATERIALS,"160,622",19.791,19.615,0.327180
62,Lancet Diabetes & Endocrinology,"3,866",19.742,19.337,0.021580
63,CIRCULATION,"165,641",19.309,17.140,0.245160
64,Nature Climate Change,"13,663",19.304,21.108,0.082020
64,Nature Climate Change,"13,663",19.304,21.108,0.082020
66,Lancet Respiratory Medicine,"3,920",19.287,17.515,0.020470
67,Annual Review of Condensed Matter Physics,"1,915",18.588,17.813,0.011910
68,GASTROENTEROLOGY,"70,320",18.392,16.825,0.124230
69,Nature Reviews Endocrinology,"6,003",18.318,17.146,0.025320
70,Cell Metabolism,"25,575",18.164,19.786,0.099580
71,PHARMACOLOGICAL REVIEWS,"12,481",17.893,21.544,0.016230
72,NATURE NEUROSCIENCE,"54,399",17.839,17.398,0.160400
73,Advances in Optics and Photonics,"1,568",17.833,19.640,0.005210
74,Lancet Global Health,"2,649",17.686,18.248,0.015340
74,Lancet Global Health,"2,649",17.686,18.248,0.015340
76,Nano Today,"6,131",17.476,19.234,0.014420
77,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"25,052",17.425,22.000,0.030160
78,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"9,015",17.382,24.055,0.009730
79,ANNALS OF INTERNAL MEDICINE,"53,793",17.202,17.637,0.099960
80,IEEE Communications Surveys and Tutorials,"8,654",17.188,17.430,0.029230
81,PSYCHOLOGICAL BULLETIN,"43,457",16.793,20.655,0.027400
81,PSYCHOLOGICAL BULLETIN,"43,457",16.793,20.655,0.027400
83,Science Translational Medicine,"22,073",16.761,17.136,0.125580
84,Advanced Energy Materials,"22,073",16.721,16.457,0.075490
85,GUT,"38,889",16.658,14.759,0.070240
86,TRENDS IN BIOCHEMICAL SCIENCES,"16,279",16.630,13.994,0.032160
87,JAMA Oncology,"2,496",16.559,16.765,0.011280
88,JAMA Internal Medicine,"8,760",16.538,16.337,0.057090
89,PSYCHOLOGICAL INQUIRY,"3,473",16.455,15.259,0.002870
90,EUROPEAN UROLOGY,"27,172",16.265,13.994,0.066650
91,ENDOCRINE REVIEWS,"12,768",15.745,18.432,0.011420
92,Annual Review of Neuroscience,"13,211",15.630,22.067,0.020610
93,CELL RESEARCH,"11,885",15.606,14.331,0.038030
94,TRENDS IN COGNITIVE SCIENCES,"23,273",15.402,23.659,0.046290
94,TRENDS IN COGNITIVE SCIENCES,"23,273",15.402,23.659,0.046290
96,TRENDS IN CELL BIOLOGY,"12,503",15.333,13.305,0.035140
97,JAMA Psychiatry,"6,112",15.307,15.679,0.035650
97,JAMA Psychiatry,"6,112",15.307,15.679,0.035650
99,TRENDS IN ECOLOGY & EVOLUTION,"32,332",15.268,18.350,0.039200
100,Nature Chemical Biology,"17,619",15.066,14.519,0.065430
101,Cell Host & Microbe,"13,089",14.946,13.921,0.060940
102,Annual Review of Cell and Developmental Biology,"9,131",14.917,20.121,0.020340
103,JOURNAL OF MANAGED CARE PHARMACY,"1,611",14.789,4.696,0.003430
104,Annual Review of Physical Chemistry,"8,466",14.741,16.510,0.014770
105,MOLECULAR CELL,"57,961",14.714,14.370,0.184120
106,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"11,027",14.533,20.017,0.013690
107,REPORTS ON PROGRESS IN PHYSICS,"14,032",14.311,16.396,0.031260
108,Nature Reviews Cardiology,"4,406",14.299,12.633,0.018490
109,BEHAVIORAL AND BRAIN SCIENCES,"8,195",14.200,20.948,0.010920
109,BEHAVIORAL AND BRAIN SCIENCES,"8,195",14.200,20.948,0.010920
111,AMERICAN JOURNAL OF PSYCHIATRY,"41,446",14.176,14.625,0.042560
111,AMERICAN JOURNAL OF PSYCHIATRY,"41,446",14.176,14.625,0.042560
113,Psychological Science in the Public Interest,965,14.143,23.625,0.002490
114,Light-Science & Applications,"2,856",14.098,14.567,0.011050
115,NEURON,"82,253",14.024,15.832,0.226580
116,Annual Review of Fluid Mechanics,"10,259",14.020,15.193,0.012650
117,Wiley Interdisciplinary Reviews-Computational Molecular Science,"3,195",14.016,13.915,0.014100
118,STUDIES IN MYCOLOGY,"2,390",14.000,15.691,0.004980
119,CIRCULATION RESEARCH,"49,784",13.965,11.972,0.079750
120,ACS Nano,"116,242",13.942,14.194,0.350820
121,Nature Geoscience,"17,861",13.941,14.350,0.081880
122,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"514,759",13.858,12.969,0.771940
123,Physics of Life Reviews,"1,327",13.840,10.617,0.003180
124,Nature Reviews Gastroenterology & Hepatology,"5,699",13.678,15.515,0.023470
125,Applied Physics Reviews,891,13.667,13.667,0.004030
126,Annual Review of Medicine,"5,974",13.609,13.345,0.012480
127,FUNGAL DIVERSITY,"4,068",13.465,9.104,0.007800
128,Annual Review of Materials Research,"7,082",13.432,19.074,0.010130
129,SURFACE SCIENCE REPORTS,"4,620",13.333,17.957,0.003690
130,COORDINATION CHEMISTRY REVIEWS,"29,518",13.324,12.743,0.034380
131,TRENDS IN IMMUNOLOGY,"10,436",13.287,12.270,0.029060
132,HEPATOLOGY,"62,304",13.246,11.930,0.109720
133,PROGRESS IN NEUROBIOLOGY,"12,163",13.217,11.916,0.017980
134,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"56,793",13.204,13.077,0.090070
134,MOLECULAR PSYCHIATRY,"17,452",13.204,13.328,0.049580
136,BLOOD,"161,962",13.164,10.891,0.313320
137,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"46,218",13.081,12.376,0.083210
138,Annual Review of Pharmacology and Toxicology,"7,538",12.877,15.551,0.010290
139,Annual Review of Entomology,"11,445",12.867,15.307,0.010000
140,ANNALS OF THE RHEUMATIC DISEASES,"39,185",12.811,10.700,0.083710
141,TRENDS IN PHARMACOLOGICAL SCIENCES,"11,348",12.797,11.077,0.019150
142,Physical Review X,"7,645",12.789,12.104,0.057930
143,JOURNAL OF CLINICAL INVESTIGATION,"105,106",12.784,14.415,0.183780
144,NANO LETTERS,"141,715",12.712,14.298,0.354290
145,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"26,851",12.595,12.170,0.092800
146,JNCI-Journal of the National Cancer Institute,"38,391",12.589,13.525,0.062430
147,JOURNAL OF HEPATOLOGY,"33,566",12.486,11.230,0.083980
148,Living Reviews in Solar Physics,974,12.455,17.857,0.004100
149,Nano Energy,"13,433",12.343,12.924,0.038000
150,REVIEWS OF GEOPHYSICS,"9,104",12.340,15.790,0.011290
151,Annual Review of Marine Science,"2,785",12.333,16.056,0.009910
152,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"3,171",12.317,15.533,0.004770
153,ACTA NEUROPATHOLOGICA,"16,462",12.213,11.297,0.036980
154,FEMS MICROBIOLOGY REVIEWS,"10,381",12.198,14.754,0.018280
155,Nature Reviews Rheumatology,"5,316",12.188,12.192,0.020500
156,Nature Reviews Nephrology,"3,710",12.146,10.265,0.014800
157,Annual Review of Clinical Psychology,"4,063",12.136,15.500,0.010140
157,Annual Review of Clinical Psychology,"4,063",12.136,15.500,0.010140
159,ADVANCED FUNCTIONAL MATERIALS,"67,188",12.124,12.362,0.147770
159,Nature Communications,"123,958",12.124,13.092,0.721690
161,INTENSIVE CARE MEDICINE,"20,100",12.015,8.465,0.035310
162,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"277,191",11.994,11.838,0.573520
163,JOURNAL OF EXPERIMENTAL MEDICINE,"63,434",11.991,13.285,0.099180
164,GENOME RESEARCH,"36,644",11.922,13.795,0.114050
165,TRENDS IN PLANT SCIENCE,"18,467",11.911,13.442,0.026310
166,GENOME BIOLOGY,"28,862",11.908,13.554,0.095090
167,PLOS MEDICINE,"22,665",11.862,14.952,0.059420
168,DIABETES CARE,"66,107",11.857,10.037,0.107980
169,ANNALS OF ONCOLOGY,"34,424",11.855,9.014,0.090850
170,ADVANCED DRUG DELIVERY REVIEWS,"32,192",11.764,17.645,0.041970
171,HUMAN REPRODUCTION UPDATE,"7,768",11.748,11.285,0.015960
172,LEUKEMIA,"23,538",11.702,9.923,0.059710
173,BIOLOGICAL REVIEWS,"9,669",11.615,11.740,0.017260
174,Lancet Psychiatry,"1,636",11.588,11.588,0.007790
174,Lancet Psychiatry,"1,636",11.588,11.588,0.007790
176,PROGRESS IN RETINAL AND EYE RESEARCH,"5,428",11.587,11.540,0.008910
177,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"23,370",11.483,Not Available,0.083840
178,BIOLOGICAL PSYCHIATRY,"41,859",11.412,10.577,0.067320
179,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,"3,263",11.229,4.854,0.006470
180,PHARMACOLOGY & THERAPEUTICS,"13,250",11.127,10.011,0.022180
181,TRENDS IN BIOTECHNOLOGY,"13,211",11.126,13.382,0.020020
182,TRENDS IN NEUROSCIENCES,"19,178",11.124,13.408,0.029640
183,Academy of Management Annals,"2,109",11.115,16.191,0.008760
183,Annual Review of Physiology,"8,818",11.115,15.313,0.012360
185,TRENDS IN MICROBIOLOGY,"10,667",11.020,10.239,0.020820
186,NATURAL PRODUCT REPORTS,"9,382",11.014,10.985,0.016200
187,PROGRESS IN QUANTUM ELECTRONICS,"1,047",11.000,8.897,0.001550
188,Annual Review of Phytopathology,"7,028",10.981,12.837,0.007420
189,DRUG RESISTANCE UPDATES,"2,462",10.906,10.516,0.003970
190,TRENDS IN ENDOCRINOLOGY AND METABOLISM,"7,766",10.893,10.154,0.018530
191,TRENDS IN GENETICS,"11,304",10.844,10.401,0.024990
192,TRENDS IN MOLECULAR MEDICINE,"8,371",10.732,10.240,0.019430
193,IEEE Industrial Electronics Magazine,"1,119",10.710,9.564,0.003550
194,Materials Horizons,"1,650",10.706,10.750,0.005950
195,Annual Review of Biophysics,"2,510",10.676,13.280,0.010640
196,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,"11,006",10.629,10.365,0.008540
197,ACS Catalysis,"27,113",10.614,10.945,0.088910
198,BIOTECHNOLOGY ADVANCES,"14,128",10.597,11.866,0.023830
199,PROGRESS IN LIPID RESEARCH,"5,097",10.583,11.958,0.007540
200,EUROPEAN RESPIRATORY JOURNAL,"32,927",10.569,8.491,0.054550
201,Annual Review of Biomedical Engineering,"4,251",10.514,14.615,0.006070
202,IEEE COMMUNICATIONS MAGAZINE,"17,250",10.435,9.119,0.050100
203,JOURNAL OF PINEAL RESEARCH,"7,278",10.391,7.954,0.008020
204,Nature Plants,"1,041",10.300,10.300,0.005040
205,BRAIN,"48,061",10.292,10.767,0.077420
206,JAMA Pediatrics,"4,177",10.251,10.481,0.025060
207,Annual Review of Public Health,"4,974",10.228,10.470,0.008780
207,Annual Review of Public Health,"4,974",10.228,10.470,0.008780
209,JACC-Cardiovascular Imaging,"6,895",10.189,9.260,0.026990
210,Annual Review of Ecology Evolution and Systematics,"18,581",10.182,14.568,0.011680
211,NUCLEIC ACIDS RESEARCH,"156,800",10.162,9.338,0.374740
212,Nature Protocols,"32,592",10.032,13.254,0.077470
213,JAMA Neurology,"5,105",10.029,9.536,0.026930
214,CURRENT OPINION IN CELL BIOLOGY,"13,266",9.937,8.684,0.029780
215,ANNALS OF NEUROLOGY,"34,215",9.890,11.089,0.057150
216,Lancet HIV,734,9.842,9.842,0.003460
217,PLOS BIOLOGY,"26,893",9.797,10.206,0.067380
218,EMBO JOURNAL,"66,603",9.792,9.853,0.097670
219,LAND DEGRADATION & DEVELOPMENT,"4,392",9.787,8.734,0.004750
220,Annual Review of Earth and Planetary Sciences,"6,688",9.780,11.929,0.012030
221,ENVIRONMENTAL HEALTH PERSPECTIVES,"37,319",9.776,9.634,0.044680
222,Molecular Systems Biology,"8,208",9.750,12.744,0.033980
223,Journal of Cachexia Sarcopenia and Muscle,"1,310",9.697,7.894,0.003770
224,ISME Journal,"17,083",9.664,11.630,0.056860
225,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"620,027",9.661,10.414,1.235810
226,IEEE SIGNAL PROCESSING MAGAZINE,"9,088",9.654,10.559,0.019130
227,CLINICAL CANCER RESEARCH,"77,834",9.619,9.250,0.140920
228,IMMUNOLOGICAL REVIEWS,"13,751",9.614,10.432,0.034610
229,SEMINARS IN IMMUNOLOGY,"4,257",9.611,7.604,0.012230
230,AMERICAN JOURNAL OF GASTROENTEROLOGY,"32,177",9.566,10.429,0.049750
231,Alzheimers & Dementia,"8,125",9.478,13.294,0.032060
232,CHEMISTRY OF MATERIALS,"92,255",9.466,9.242,0.125820
233,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,"4,889",9.452,8.661,0.009450
234,ECOLOGY LETTERS,"27,777",9.449,13.327,0.058940
235,APPLIED CATALYSIS B-ENVIRONMENTAL,"47,718",9.446,8.870,0.063780
236,Journal of Statistical Software,"10,301",9.436,10.698,0.032800
237,FRONTIERS IN NEUROENDOCRINOLOGY,"3,516",9.425,8.344,0.006590
238,Annual Review of Microbiology,"9,437",9.415,13.129,0.011880
239,GENES & DEVELOPMENT,"57,493",9.413,11.414,0.105120
240,ACADEMY OF MANAGEMENT REVIEW,"27,906",9.408,13.630,0.012790
241,MASS SPECTROMETRY REVIEWS,"3,737",9.373,7.706,0.004810
242,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,"4,927",9.361,11.835,0.007790
243,Journal of Physical Chemistry Letters,"33,159",9.353,8.334,0.126660
244,Bone Research,592,9.326,7.861,0.001530
245,CURRENT OPINION IN BIOTECHNOLOGY,"13,407",9.294,8.681,0.028360
246,EMBO Molecular Medicine,"5,352",9.249,9.507,0.024220
247,PROCEEDINGS OF THE IEEE,"30,230",9.237,9.758,0.031720
248,DEVELOPMENTAL CELL,"25,598",9.174,9.833,0.076130
249,NPG Asia Materials,"2,632",9.157,10.089,0.008100
250,SEMINARS IN CANCER BIOLOGY,"5,835",9.141,9.530,0.012360
251,GREEN CHEMISTRY,"34,042",9.125,8.815,0.057430
252,CANCER RESEARCH,"139,655",9.122,9.826,0.149120
253,npj Quantum Information,121,9.111,9.111,0.000600
254,Annual Review of Nutrition,"4,960",9.054,9.817,0.004770
255,Advanced Science,"1,550",9.034,9.067,0.004300
256,AMERICAN JOURNAL OF HUMAN GENETICS,"33,926",9.025,10.362,0.073140
257,FISH AND FISHERIES,"3,367",9.013,9.311,0.006730
258,ANNALS OF SURGERY,"48,707",8.980,9.410,0.070910
259,IEEE WIRELESS COMMUNICATIONS,"5,479",8.972,8.776,0.018140
260,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,"35,795",8.966,9.423,0.054210
261,PSYCHOTHERAPY AND PSYCHOSOMATICS,"3,245",8.964,7.664,0.005070
261,PSYCHOTHERAPY AND PSYCHOSOMATICS,"3,245",8.964,7.664,0.005070
263,AUTOIMMUNITY REVIEWS,"7,670",8.961,6.853,0.019280
264,SLEEP MEDICINE REVIEWS,"4,980",8.958,9.619,0.009710
265,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,"24,547",8.955,10.287,0.064930
266,SYSTEMATIC BIOLOGY,"14,988",8.917,13.674,0.026720
267,CLINICAL PSYCHOLOGY REVIEW,"12,528",8.897,10.662,0.020210
268,Journal of Materials Chemistry A,"67,521",8.867,8.824,0.185070
269,CURRENT BIOLOGY,"52,274",8.851,9.704,0.134650
270,National Science Review,512,8.843,9.216,0.002750
271,JACC-Cardiovascular Interventions,"8,512",8.841,8.832,0.035080
272,Molecular Plant,"6,040",8.827,7.429,0.020100
273,Cold Spring Harbor Perspectives in Biology,"11,216",8.769,11.850,0.056160
274,Theranostics,"4,091",8.766,9.222,0.012640
275,MEDICINAL RESEARCH REVIEWS,"3,939",8.763,8.517,0.005450
276,ECOLOGICAL MONOGRAPHS,"10,304",8.759,10.216,0.007990
277,Annual Review of Genetics,"7,482",8.745,15.940,0.016950
278,PLANT CELL,"49,690",8.726,9.996,0.074760
279,DIABETES,"54,142",8.684,8.624,0.084850
280,Chemical Science,"28,154",8.668,8.733,0.112530
281,Soft Robotics,356,8.649,9.243,0.001490
282,Small,"35,042",8.643,8.296,0.079090
283,PROGRESS IN SURFACE SCIENCE,"1,874",8.619,5.982,0.001820
284,INTERNATIONAL MATERIALS REVIEWS,"3,551",8.605,11.349,0.004050
285,Autophagy,"12,494",8.593,11.019,0.032370
286,CANCER TREATMENT REVIEWS,"7,122",8.589,7.369,0.014410
287,Particle and Fibre Toxicology,"3,642",8.577,9.628,0.007820
288,EMBO REPORTS,"11,985",8.568,7.977,0.032750
289,GLOBAL CHANGE BIOLOGY,"31,762",8.502,9.455,0.075590
290,Microbiome,"1,396",8.496,9.420,0.007210
291,JACC-Heart Failure,"2,047",8.493,8.656,0.012190
292,PHYSICAL REVIEW LETTERS,"427,669",8.462,7.805,0.745870
293,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,"12,038",8.442,7.929,0.019050
294,Laser & Photonics Reviews,"4,571",8.434,9.795,0.014210
295,Cell Systems,394,8.406,8.406,0.002250
296,BIOMATERIALS,"100,214",8.402,8.946,0.128430
297,KIDNEY INTERNATIONAL,"41,438",8.395,9.119,0.055060
298,CURRENT OPINION IN IMMUNOLOGY,"9,083",8.384,7.319,0.023480
299,CELL DEATH AND DIFFERENTIATION,"17,711",8.339,8.251,0.034000
300,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"43,649",8.329,12.293,0.064870
301,NEUROLOGY,"81,843",8.320,8.463,0.114840
302,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"20,452",8.299,10.156,0.047140
303,Cancer Immunology Research,"2,936",8.284,8.647,0.013960
304,Cell Reports,"20,705",8.282,8.728,0.158370
305,THORAX,"21,198",8.272,7.906,0.030370
306,GENETICS IN MEDICINE,"7,416",8.229,7.437,0.027680
307,ASTRONOMY AND ASTROPHYSICS REVIEW,"1,411",8.222,12.826,0.004570
307,EMERGING INFECTIOUS DISEASES,"28,052",8.222,7.373,0.074220
307,INTERNATIONAL JOURNAL OF COMPUTER VISION,"16,093",8.222,8.095,0.024040
310,CLINICAL INFECTIOUS DISEASES,"58,143",8.216,8.885,0.119030
311,OPHTHALMOLOGY,"36,581",8.204,7.788,0.058310
312,ALDRICHIMICA ACTA,862,8.182,11.069,0.001660
313,PROGRESS IN CARDIOVASCULAR DISEASES,"3,544",8.177,5.116,0.007690
314,METABOLIC ENGINEERING,"5,665",8.142,7.770,0.015420
315,BMC Medicine,"9,765",8.097,8.836,0.039330
316,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,"16,921",8.085,7.620,0.042540
317,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,"48,590",8.050,9.122,0.089730
318,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"8,134",8.039,10.841,0.017840
319,CLINICAL CHEMISTRY,"27,811",8.008,7.965,0.026020
320,JOURNAL OF INTERNAL MEDICINE,"9,903",7.980,6.953,0.017470
321,JAMA Surgery,"3,379",7.956,7.475,0.019110
322,JOURNAL OF CELL BIOLOGY,"67,863",7.955,9.306,0.092150
323,ACS Central Science,604,7.939,7.939,0.002380
324,Applied Mechanics Reviews,"3,435",7.921,6.452,0.002370
325,CURRENT OPINION IN CHEMICAL BIOLOGY,"9,840",7.889,7.210,0.020810
326,Obesity Reviews,"9,124",7.883,9.025,0.024900
327,Liver Cancer,565,7.854,6.848,0.001610
328,JOURNAL OF CONTROLLED RELEASE,"42,402",7.786,8.450,0.056990
328,NEURO-ONCOLOGY,"8,326",7.786,7.138,0.024240
330,BIOSENSORS & BIOELECTRONICS,"41,829",7.780,6.862,0.064390
331,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,"19,327",7.738,9.804,0.046260
332,Nature Reviews Urology,"2,439",7.735,6.493,0.007710
333,JOURNAL OF MANAGEMENT,"16,286",7.733,12.213,0.022610
334,Optica,"2,364",7.727,7.727,0.012170
335,eLife,"15,730",7.725,8.385,0.130300
336,OncoImmunology,"4,157",7.719,6.921,0.015420
337,HAEMATOLOGICA,"15,075",7.702,6.372,0.040380
338,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"11,648",7.671,8.290,0.017610
339,Annual Review of Organizational Psychology and Organizational Behavior,362,7.644,7.689,0.002110
340,JOURNAL OF AUTOIMMUNITY,"5,472",7.641,6.209,0.013130
341,PSYCHOLOGICAL REVIEW,"25,352",7.638,9.506,0.011190
341,PSYCHOLOGICAL REVIEW,"25,352",7.638,9.506,0.011190
343,AMERICAN JOURNAL OF KIDNEY DISEASES,"21,660",7.623,6.452,0.032590
344,EXERCISE IMMUNOLOGY REVIEW,827,7.600,10.000,0.001820
345,IEEE Internet of Things Journal,934,7.596,7.633,0.002620
346,Annual Review of Genomics and Human Genetics,"2,377",7.579,7.786,0.006470
347,SCHIZOPHRENIA BULLETIN,"15,093",7.575,8.054,0.030250
347,SCHIZOPHRENIA BULLETIN,"15,093",7.575,8.054,0.030250
349,ONCOGENE,"65,039",7.519,7.272,0.079990
350,PERSOONIA,"1,387",7.511,7.097,0.003500
351,ACS Applied Materials & Interfaces,"84,383",7.504,7.823,0.216320
352,SPACE SCIENCE REVIEWS,"9,379",7.497,7.176,0.023670
353,Mucosal Immunology,"4,898",7.478,7.269,0.021200
354,AGEING RESEARCH REVIEWS,"4,198",7.452,8.084,0.011320
355,PLANT BIOTECHNOLOGY JOURNAL,"5,968",7.443,6.657,0.014100
356,Annual Review of Analytical Chemistry,"1,964",7.435,9.259,0.004990
357,ACADEMY OF MANAGEMENT JOURNAL,"30,777",7.417,11.901,0.027580
358,MATRIX BIOLOGY,"4,439",7.400,5.931,0.007730
359,Clinical Gastroenterology and Hepatology,"14,353",7.398,7.575,0.042120
360,NEUROSCIENTIST,"4,325",7.391,7.899,0.009860
361,IEEE Transactions on Cybernetics,"5,553",7.384,7.678,0.019260
362,Nanoscale,"62,577",7.367,7.668,0.181010
363,ALLERGY,"16,206",7.361,6.606,0.025050
364,Perspectives on Psychological Science,"6,379",7.359,13.170,0.028520
365,CURRENT OPINION IN PLANT BIOLOGY,"12,118",7.357,7.875,0.022500
366,Nano Research,"9,155",7.354,7.679,0.022090
367,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,"27,955",7.349,6.533,0.034620
368,Stem Cell Reports,"3,299",7.338,7.508,0.020450
369,Molecular Ecology Resources,"8,647",7.332,6.542,0.019870
370,NEW PHYTOLOGIST,"42,370",7.330,7.857,0.073200
371,Annual Review of Food Science and Technology,"1,080",7.310,7.380,0.003280
372,BIOINFORMATICS,"83,508",7.307,8.044,0.183250
373,RADIOLOGY,"50,983",7.296,7.648,0.066000
374,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,"18,259",7.286,6.478,0.034800
375,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,"18,202",7.281,10.757,0.037990
376,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,"14,019",7.277,6.218,0.024850
377,MIS QUARTERLY,"14,561",7.268,12.222,0.012460
377,MIS QUARTERLY,"14,561",7.268,12.222,0.012460
